Value,Type
Akatarawa River at Hutt Confluence,Site
Awhea River at Tora Rd,Site
Beef Creek at headwaters,Site
Horokiri Stream at Snodgrass,Site
Huangarua River at Ponatahi Bridge,Site
Hutt River at Boulcott,Site
Hutt River at Te Marua Intake Site,Site
Hutt River Opposite Manor Park Golf Club,Site
Kaiwharawhara Stream at Ngaio Gorge,Site
Karori Stream at Makara Peak Mountain Bike Park,Site
Kopuaranga River at Stuarts,Site
Makara Stream at Kennels,Site
Mangaone Stream at Sims Road Bridge,Site
Mangapouri Stream at Bennetts Rd,Site
Mangaroa River at Te Marua,Site
Mangatarere River at State Highway 2,Site
Motuwaireka Stream at headwaters,Site
Ngarara Stream at Field Way,Site
Orongorongo River at Orongorongo Station,Site
Otaki River at Mouth,Site
Otaki River at Pukehinau,Site
Pakuratahi River 50m Below Farm Creek,Site
Parkvale Stream at Renalls Weir,Site
Parkvale tributary at Lowes Reserve,Site
Pauatahanui Stream at Elmwood Bridge,Site
Porirua Stream at Glenside Overhead Cables,Site
Porirua Stream at Milk Depot,Site
Ruamahanga River at Gladstone Bridge,Site
Ruamahanga River at McLays,Site
Ruamahanga River at Pukio,Site
Ruamahanga River at Te Ore Ore,Site
Tauanui River at Whakatomotomo Rd,Site
Taueru River at Castlehill,Site
Taueru River at Gladstone,Site
Tauherenikau River at Websters,Site
Totara Stream at Stronvar,Site
Waikanae River at Greenaway Rd,Site
Waikanae River at Mangaone Walkway,Site
Waingawa River at South Rd,Site
Wainuiomata River at Manuka Track,Site
Waiohine River at Bicknells,Site
Waiohine River at Gorge,Site
Waiorongomai River at Forest Park,Site
Waipoua River at Colombo Rd Bridge,Site
Waitohu Stream at Forest Park,Site
Waitohu Stream at Norfolk Crescent,Site
Waiwhetu Stream at Whites Line East,Site
Whakatikei River at Riverstone,Site
Whangaehu River at 250m from Confluence,Site
Whareama River at Gauge,Site
Whareroa Stream at QE Park,Site
Whareroa Stream at Waterfall Rd,Site
Wainuiomata River Dnstr of White Bridge,Site
MCIhb,Measurement
%EPT taxa,Measurement
Taxa Richness,Measurement
WQ Sample,Measurement
