Value,Type
Arawhata Drain at Hokio Beach Road,Site
Hautapu at Alabasters,Site
Hautapu at US Rangitikei River Conf,Site
Hokio at Lake Horowhenua,Site
Kahuterawa at Johnstons Rata,Site
Kahuterawa at Keebles Farm,Site
Kiwitea at Kimbolton Rd,Site
Koputaroa at Tavistock Rd,Site
Kumeti at Te Rehunga,Site
Makakahi at end Kaiparoro Road,Site
Makakahi at Hamua,Site
Makotuku at Above Sewage Plant,Site
Makotuku at Raetihi,Site
Makotuku at SH49A,Site
Makuri at Tuscan Hills,Site
Manakau at S.H.1 Bridge,Site
Manawatu at Hopelands,Site
Manawatu at Opiki Br,Site
Manawatu at Teachers College,Site
Manawatu at u/s PNCC STP,Site
Manawatu at Upper Gorge,Site
Manawatu at Weber Road,Site
Mangaatua at u/s Woodville STP,Site
Mangahao at Ballance,Site
Manganui o te Ao at Ashworth,Site
Mangapapa at Troup Rd,Site
Mangatainoka at Brewery - S.H.2 Bridge,Site
Mangatainoka at Hukanui,Site
Mangatainoka at Larsons Road,Site
Mangatainoka at Pahiatua Town Bridge,Site
Mangatainoka at Putara,Site
Mangatainoka at Scarborough Konini Rd,Site
Mangatainoka at u/s Pahiatua STP,Site
Mangatainoka at u/s Tiraumea Confluence,Site
Mangatera at Dannevirke,Site
Mangatera at u/s Manawatu confluence,Site
Mangatewainui at Hardys,Site
Mangatoro at Mangahei Road,Site
Mangawhero at DOC Headquarters,Site
Mangawhero at Pakihi Rd Bridge,Site
Mangawhero at Raupiu Road,Site
Mangawhero at u/s Ohakune STP,Site
Ohau at Gladstone Reserve,Site
Ohau at Haines Property,Site
Ongarue at Taringamotu,Site
Oroua at Almadale Slackline,Site
Oroua at Apiti,Site
Oroua at Awahuri Bridge,Site
Oroua at U/S Feilding STP,Site
Oruakeretaki at S.H.2 Napier,Site
Owahanga at Branscombe Bridge,Site
Patiki Stream at Kawiu Road,Site
Pohangina at Mais Reach,Site
Pohangina at Piripiri,Site
POREWA AT ONEPUHI ROAD,Site
Rangitikei at Mangaweka,Site
Rangitikei at McKelvies,Site
Rangitikei at Onepuhi,Site
Rangitikei at Pukeokahu,Site
Raparapawai at Jackson Rd,Site
Tamaki at Stephensons,Site
Tamaki at Tamaki Reserve,Site
Tiraumea at Ngaturi,Site
Tokiahuru at Karioi,Site
Tokomaru River at Horseshoe bend,Site
Turakina at ONeills Bridge,Site
Turitea at No1 Dairy,Site
Waikawa at Huritini,Site
Waikawa at North Manakau Road,Site
Whanganui at Cherry Grove,Site
Whanganui at Pipiriki,Site
Whanganui at Te Maire,Site
Whanganui at Wades Landing,Site
MCI (HRC),Measurement
%EPT (HRC),Measurement
Taxonomic richness (HRC),Measurement
WQ Sample,Measurement
