Value,Type
RW Aorere @ Devils Boots,Site
RW Aorere @ Le Comte,Site
RW Black Vly @ 30m us Lake,Site
RW Graham @ farm forest bdy,Site
RW Graham @ Kikiwa,Site
RW Hunters @ Kikiwa,Site
RW Kaituna @ 500m us Track start,Site
RW Kaituna @ Sollys Rd,Site
RW Kikiwa @ Kikiwa,Site
RW Lee @ Meads Br,Site
RW Little Sydney @ Factory Rd,Site
RW Mangles @ 1.5 km u-s Tutaki,Site
RW Mangles @ Gorge,Site
RW Matakitaki @ SH6 Murchison,Site
RW Motueka @ u-s Wangapeka,Site
RW Motueka @ Woodmans Bend,Site
RW Motupiko @ Christies,Site
RW Motupipi @ Abel Tasman Dr,Site
RW Motupipi @ Factory Farm Br,Site
RW Motupipi @ Reillys Br,Site
RW Murchison Ck @ 20m u-s SH6,Site
RW Onahau @ Onahau Rd,Site
RW Onekaka @ Shambala Br,Site
RW Onekaka @ u-s Ironstone,Site
RW Powell @ 40m u-s Motupipi Rv,Site
RW Powell @ Glenview Rd,Site
RW Redwood Vly @ Greenacres Rd,Site
RW Reservoir Ck @ 20m d-s Salisbury Rd,Site
RW Reservoir Ck @ Marlborough Cr,Site
RW Riwaka @ Hickmotts,Site
RW Riwaka @ Northbranch Source,Site
RW Roding @ Twin Bridges,Site
RW Seaton Vly @ Stafford Dr,Site
RW Sherry @ Blue Rock,Site
RW Sherry @ u-s Cave Ck,Site
RW Takaka @ Harwoods,Site
RW Takaka @ Kotinga,Site
RW Tasman @ u-s Jesters Hse,Site
RW Waimea @ SH60 Appleby,Site
RW Wairoa @ Irvines,Site
RW Wairoa @ Pig Vly,Site
RW Waiwhero @ Cemetery,Site
RW Wangapeka @ 5km u-s Dart,Site
RW Wangapeka @ Walter Peak,Site
RW Watercress @ u-s Dairy Factory,Site
RW Winter @ 50m u-s Abel Tasman Dr,Site
Number of Taxa,Measurement
Macroinvertebrate Community Index NRC,Measurement
Percentage of EPT taxa,Measurement
WQ Sample,Measurement
MCI,Measurement
% EPT Taxa,Measurement
Taxa Richness,Measurement
EPT Taxa (SRC),Measurement
MCI (SRC),Measurement
Taxa Richness (SRC),Measurement
MCI,Measurement
Taxa Richness,Measurement
EPT % taxa richness,Measurement
MCIhb,Measurement
%EPT taxa,Measurement
Taxa Richness,Measurement
% EPT Taxa,Measurement
Macroinvertebrate Community Index Value,Measurement
No. Taxa (Macroinvert),Measurement
MCI (HRC),Measurement
%EPT (HRC),Measurement
Taxonomic richness (HRC),Measurement
MCI,Measurement
SQMCI,Measurement
%EPT,Measurement
Taxa Richness,Measurement
MCI,Measurement
SQMCI,Measurement
No fo Taxa (MCI),Measurement
%EPT Taxa,Measurement
MCI,Measurement
TaxaRichness,Measurement
EPTTAXA,Measurement
TAXARICHNESS,Measurement
MCI,Measurement
Taxonomic Richness,Measurement
% EPT Taxa,Measurement
MCI[MCI],Measurement
Taxa_Richness,Measurement
MCI_HB,Measurement
MCI_SB,Measurement
EPT_TaxaMedian,Measurement
