Value,Type
14328,Site
14371,Site
14400,Site
14406,Site
14487,Site
23978,Site
24254,Site
36681,Site
36774,Site
36800,Site
36875,Site
37656,Site
37694,Site
37768,Site
37770,Site
37776,Site
37872,Site
38025,Site
38057,Site
38156,Site
38218,Site
38247,Site
38282,Site
38319,Site
38337,Site
38342,Site
38364,Site
38370,Site
38385,Site
38418,Site
38462,Site
38468,Site
38540,Site
38622,Site
40708,Site
40720,Site
41011,Site
41144,Site
41386,Site
41556,Site
41630,Site
41673,Site
41715,Site
41766,Site
41919,Site
42385,Site
42486,Site
42598,Site
42673,Site
42725,Site
42756,Site
43614,Site
43615,Site
43616,Site
43618,Site
43729,Site
43744,Site
43787,Site
43807,Site
44331,Site
44354,Site
44388,Site
44395,Site
44406,Site
44412,Site
44508,Site
44557,Site
44658,Site
44754,Site
44845,Site
Taxa_Richness,Measurement
MCI_HB,Measurement
MCI_SB,Measurement
EPT_TaxaMedian,Measurement
