"","SiteID","CouncilSiteID","LawaSiteID","Macro","Region","Agency","Lat","Long"
"1","44603","44603","ARC-00001","Yes","Auckland","Auckland Council",-36.88883413,174.5220565
"2","45313","45313","ARC-00003","Yes","Auckland","Auckland Council",-36.7765388,174.5604402
"3","6604","6604","ARC-00008","Yes","Auckland","Auckland Council",-36.3445107699999,174.7105353
"4","43829","43829","ARC-00009","Yes","Auckland","Auckland Council",-37.1954243299999,174.9736209
"5","8110","8110","ARC-00010","Yes","Auckland","Auckland Council",-36.87500973,174.7050507
"6","7904","7904","ARC-00013","Yes","Auckland","Auckland Council",-36.89506569,174.5946546
"7","8205","8205","ARC-00016","Yes","Auckland","Auckland Council",-36.95566215,174.8907199
"8","7811","7811","ARC-00017","Yes","Auckland","Auckland Council",-36.73199419,174.6947376
"9","8217","8217","ARC-00018","Yes","Auckland","Auckland Council",-36.9135907199999,174.9080664
"10","8215","8215","ARC-00019","Yes","Auckland","Auckland Council",-36.93350176,174.9029491
"11","43856","43856","ARC-00021","Yes","Auckland","Auckland Council",-37.02798781,174.9251679
"12","43807","43807","ARC-00022","Yes","Auckland","Auckland Council",-36.9927674899999,174.8703457
"13","7506","7506","ARC-00024","Yes","Auckland","Auckland Council",-36.68438762,174.739454
"14","8516","8516","ARC-00025","Yes","Auckland","Auckland Council",-37.0129492899999,175.053385
"15","7104","7104","ARC-00026","Yes","Auckland","Auckland Council",-36.5508813999999,174.6606423
"16","7206","7206","ARC-00027","Yes","Auckland","Auckland Council",-36.5784597499999,174.6577235
"17","43601","43601","ARC-00028","Yes","Auckland","Auckland Council",-37.2270569999999,174.7398286
"18","438100","438100","ARC-00029","Yes","Auckland","Auckland Council",-37.17048948,174.8424849
"19","8568","8568","ARC-00030","Yes","Auckland","Auckland Council",-37.09236018,175.1007314
"20","45373","45373","ARC-00031","Yes","Auckland","Auckland Council",-36.7359823599999,174.5357421
"21","45505","45505","ARC-00033","Yes","Auckland","Auckland Council",-36.55759883,174.5213655
"22","8249","8249","ARC-00034","Yes","Auckland","Auckland Council",-36.88050847,174.86288
"23","45415","45415","ARC-00035","Yes","Auckland","Auckland Council",-36.63128225,174.5190887
"24","8019","8019","ARC-00036","Yes","Auckland","Auckland Council",-36.92363334,174.6908315
"25","7171","7171","ARC-00038","Yes","Auckland","Auckland Council",-36.5711697599999,174.6698268
"26","74401","74401","ARC-00039","Yes","Auckland","Auckland Council",-36.79168448,175.0873682
"27","74701","74701","ARC-00040","Yes","Auckland","Auckland Council",-36.81831942,175.0847173
"28","ARC-FWM080","ARC-FWM080","ARC-00103","Yes","Auckland","Auckland Council",-36.74349048,174.511139
"29","ARC-FWM068","ARC-FWM068","ARC-00104","Yes","Auckland","Auckland Council",-36.9957364599999,175.1339916
"30","ARC-FWM061","ARC-FWM061","ARC-00105","Yes","Auckland","Auckland Council",-36.68519373,174.6948178
"31","ARC-FWM060","ARC-FWM060","ARC-00106","Yes","Auckland","Auckland Council",-36.6943680099999,174.6860537
"32","ARC-FWM059","ARC-FWM059","ARC-00107","Yes","Auckland","Auckland Council",-36.6945381499999,174.6848598
"33","ARC-FWM057","ARC-FWM057","ARC-00108","Yes","Auckland","Auckland Council",-36.70232606,174.6803954
"34","ARC-FWM058","ARC-FWM058","ARC-00109","Yes","Auckland","Auckland Council",-36.69488974,174.6848563
"35","ARC-FWM004","ARC-FWM004","ARC-00110","Yes","Auckland","Auckland Council",-36.37003585,174.5675628
"36","ARC-FWM064","ARC-FWM064","ARC-00111","Yes","Auckland","Auckland Council",-36.75075333,174.7591978
"37","ARC-FWM016","ARC-FWM016","ARC-00112","Yes","Auckland","Auckland Council",-36.81728709,174.7138252
"38","ARC-FWM076","ARC-FWM076","ARC-00113","Yes","Auckland","Auckland Council",-36.39899182,174.7017492
"39","ARC-FWM069","ARC-FWM069","ARC-00114","Yes","Auckland","Auckland Council",-36.90625951,175.0831356
"40","ARC-FWM088","ARC-FWM088","ARC-00115","Yes","Auckland","Auckland Council",-36.45877987,174.6841406
"41","ARC-FWM071","ARC-FWM071","ARC-00116","Yes","Auckland","Auckland Council",-36.7926101599999,174.7086578
"42","ARC-FWM072","ARC-FWM072","ARC-00117","Yes","Auckland","Auckland Council",-36.7947787799999,174.7120459
"43","ARC-FWM073","ARC-FWM073","ARC-00118","Yes","Auckland","Auckland Council",-36.79509836,174.7148885
"44","ARC-FWM022","ARC-FWM022","ARC-00119","Yes","Auckland","Auckland Council",-36.3658249499999,174.5969144
"45","ARC-FWM018","ARC-FWM018","ARC-00120","Yes","Auckland","Auckland Council",-37.03230437,175.1626577
"46","ARC-FWM065","ARC-FWM065","ARC-00121","Yes","Auckland","Auckland Council",-37.09653329,174.5967637
"47","ARC-FWM044","ARC-FWM044","ARC-00122","Yes","Auckland","Auckland Council",-37.06841528,175.1956465
"48","ARC-FWM070","ARC-FWM070","ARC-00123","Yes","Auckland","Auckland Council",-36.77017694,174.7066585
