Value,Type
Aparima River at Dunrobin,Site
Aparima River at Otautau,Site
Aparima River at Thornbury,Site
Bog Burn d/s Hundred Line Road,Site
Cascade Stream at Pourakino Valley Road,Site
Cromel Stream at Selbie Road,Site
Dipton Stream at South Hillend-Dipton Rd,Site
Dunsdale Stream at Dunsdale Reserve,Site
Eglington River at McKay Creek Confluence,Site
Hamilton Burn at Affleck Road,Site
Hamilton Burn at Goodall Road,Site
Hedgehope Stream 20m u/s Makarewa Confluence,Site
Hillpoint Stream at Waikana Road,Site
Home Creek at Manapouri,Site
Irthing Stream at Ellis Road,Site
Lill Burn at Hindley Road,Site
Lill Burn at Lill Burn-Monowai Road,Site
Longridge Stream at Sandstone,Site
Makarewa River at King Road,Site
Makarewa River at Lora Gorge Road,Site
Makarewa River at Wallacetown,Site
Makarewa River at Winton - Hedgehope Hwy,Site
Makarewa River u/s Hedgehope Confluence,Site
Mararoa River at Kiwiburn,Site
Mararoa River at Weir Road,Site
Mataura River 200m d/s Mataura Bridge,Site
Mataura River at Garston,Site
Mataura River at Gore,Site
Mataura River at Mataura Island Bridge,Site
Mataura River at Parawa,Site
Mataura River at Pyramid Bridge,Site
McKay Creek at Milford Road,Site
Mimihau Stream at Wyndham,Site
Mimihau Stream Tributary at Venlaw Forest,Site
Moffat Creek at Moffat Road,Site
Mokoreta River at Egremont Road,Site
Mokoreta River at Wyndham River Road,Site
Mokotua Stream at Awarua,Site
North Etal Stream u/s Dunrobin Valley Rd,Site
Orauea River at Orawia Pukemaori Road,Site
Oreti River at Benmore,Site
Oreti River at Lumsden Bridge,Site
Oreti River at McKellars Flat,Site
Oreti River at Three Kings,Site
Oreti River at Wallacetown,Site
Otamita Stream at Mandeville,Site
Otapiri Stream at Anderson Road,Site
Otapiri Stream at Otapiri Gorge,Site
Otautau Stream at Otautau,Site
Otautau Stream at Otautau-Tuatapere Road,Site
Otautau Stream at Waikouro,Site
Otepuni Creek at Nith Street,Site
Oteramika Stream at Seaward Downs,Site
Pig Creek at Borland Lodge,Site
Pourakino River at Ermedale Road,Site
Rowallan Burn East at Rowallan Road,Site
Sandstone Stream at Kingston Crossing Rd,Site
Silver Stream at Lora Gorge Road,Site
Taringatura Creek at Taromaunga,Site
Thicket Burn at Lake Hauroko Road,Site
Tokanui River at Fortrose Otara Road,Site
Trenders Creek at Hall Road,Site
Upukerora River at Te Anau Milford Road,Site
Waianiwa Creek 1 at Lornville Riverton Highway,Site
Waiau River 100m u/s Clifden Bridge,Site
Waiau River at Sunnyside,Site
Waiau River at Tuatapere,Site
Waihopai River u/s Queens Drive,Site
Waikaia River at Waikaia,Site
Waikaia River at Waipounamu Bridge Road,Site
Waikaia River u/s Piano Flat,Site
Waikaka Stream at Gore,Site
Waikawa River at Progress Valley,Site
Waikiwi Stream at North Road,Site
Waikopikopiko Stream at Haldane CurioBay,Site
Waimatuku Stream at Lorneville Riverton Hwy,Site
Waimatuku Stream at Rance Rd,Site
Waimea Stream at Mandeville,Site
Waimeamea River at Young Road,Site
Wairaki River at Blackmount Road,Site
Waituna Creek at Marshall Road,Site
Whitestone River d/s Manapouri-Hillside,Site
Winton Stream at Lochiel,Site
EPT Taxa (SRC),Measurement
MCI (SRC),Measurement
Taxa Richness (SRC),Measurement
WQ Sample,Measurement
