Value,Type
Hikuwai River at Willowflat,Site
Te Arai River at Pykes Weir,Site
Waikohu River at Mahaki Station,Site
Waimata River at Goodwins Rd Bridge,Site
Waimata River at Monowai Bridge,Site
Waingaromia River at Terrace Station,Site
Waipaoa River at Kanakanaia,Site
Waipaoa River at Matawhero Bridge,Site
Wharekopae River at Rangimoe,Site
Mangaheia River at Paroa Road Bridge,Site
Waiapu River at SH35 Bridgeidge (Rotokautuku),Site
Taruheru River at Tuckers Rd Bridge,Site
Awatere River at SH35 Bridge,Site
Ihungia River at Ihungia Rd Br,Site
Karakatuwhero River at SH35 Br,Site
Motu River at Kotare Station Bridge,Site
Hikuwai River at No 4 Bridge,Site
Kopuawhakapata Stream at Hirini St,Site
Mangaoporo River at Tutamatai Bridge,Site
Mangatutu Str at Sh35-Waipahuru Bridge,Site
Mata River at Aorangi (Makarika Road),Site
Mata River at Pouturu Br,Site
Oweka River at SH35 Bridge,Site
Poroporo River at Rangitukia Rd Bridge,Site
Waiomoko River at SH35 Bridge,Site
Whakaahu Str at Brunton Rd,Site
Wharekahika River U/S of Wharf Bridge,Site
Pakarae River at Pakarae Station Bridge,Site
Motu River above Falls,Site
Waiapu River at Rotokautuku Br (SH35),Site
MCI,Measurement
Taxa Richness,Measurement
EPT % taxa richness,Measurement
WQ Sample,Measurement
