Value,Type
Aniwaniwa Stream at Aniwaniwa,Site
Aropaoanui River at Aropaoanui,Site
Awanui Stream at Flume,Site
Esk River at Berry Road,Site
Esk River at Waipunga Bridge,Site
Hangaroa River at Doneraille Park,Site
Herehere Stream at Te Aute Road,Site
Karewarewa Stream at Paki Paki,Site
Kopuawhara Stream at Railway Bridge,Site
Makaretu Stream at State Highway 50,Site
Mangakuri River at Kairakau,Site
Mangaone River at Rissington,Site
Mangaonuku Stream at Waipawa Tikokino Rd,Site
Mangaorapa Stream at Mangaorapa Road,Site
Mangapoike River at Suspension Bridge,Site
Mangatarata Stream at Mangatarata Road,Site
Maraetotara River at Te Awanga,Site
Maraetotara River at Waimarama Road,Site
Mohaka River D/S Taharua,Site
Mohaka River U/S Taharua,Site
Mokomokonui Stream U/S Waipunga,Site
Ngaruroro River at Fernhill,Site
Ngaruroro River at Whanawhana,Site
Papanui Stream at Middle Road,Site
Porangahau River at SH52 Opposite Quarry,Site
Porangahau Stream at Oruawhara Road,Site
Poukawa Stream at Stock Road,Site
Puhokio Stream at Te Apiti Rd,Site
Ripia River U/S Mohaka,Site
Ruakituri River at Sports Ground,Site
Sandy Creek U/S Lake Tutira Outlet,Site
Taharua Stream at Wairango Rd,Site
Taharua Stream at Wrights Twin Culvert,Site
Taipo Stream at Church Road,Site
Taurekaitai Stream at Wallingford,Site
Tukipo River at State Highway 50,Site
Tukituki River at Ashcott Bridge S.H. 50,Site
Tukituki River at Black Bridge,Site
Tukituki River at Red Bridge,Site
Tukituki River at Tamumu Br.,Site
Tutaekuri River at Brookfields Bridge,Site
Tutaekuri River at Lawrence Hut,Site
Tutaekuri River U/S Mangaone,Site
Tutaekuri Waimate Stm at Chesterhope,Site
Waiarua at S.H.5,Site
Waiau River at Otoi,Site
Waikari River at Glenbrook Road,Site
Waingongoro Stream at Waimarama Road,Site
Waipawa River at State Highway 50,Site
Wairoa River at Railway Br.,Site
Waitio Stream at Ohiti Road,Site
Ngaruroro River D/S Hawkes Bay Dairies,Site
Clive River U/S Whakatu Rail Bridge,Site
Taharua Stream at Henrys Bridge,Site
Taharua Stream at Red Hut Mohaka Confl,Site
Kahahakuri Stream U/S Tukituki Confl,Site
Mohaka River D/S Waipunga River,Site
Mohaka River D/S Ripia River,Site
% EPT Taxa,Measurement
Macroinvertebrate Community Index Value,Measurement
No. Taxa (Macroinvert),Measurement
WQ Sample,Measurement
