Value,Type
Maitai South Branch at Intake,Site
Lud at 4.7km,Site
Todds at SH6,Site
Whangamoa at Kokorua Bridge,Site
Collins at SH6,Site
Brook at Motor Camp,Site
Hillwood at Glen Rd,Site
Brook at Manuka St,Site
Brook at Burn Pl,Site
Wakapuaka at Maori Pa Rd,Site
Wakapuaka at Duckpond Rd,Site
Maitai at Riverside,Site
Dencker at Kokorua Rd,Site
Graham at SH6,Site
Groom at Maitai Confluence,Site
Poorman at Barnicoat Walkway,Site
Poorman at Seaview Rd,Site
Teal at 1.9km,Site
Maitai at Groom Rd,Site
Sharland at Maitai Confluence,Site
Orphanage at Saxton Rd East,Site
Lud at SH6,Site
Whangamoa at Hippolite Rd,Site
Jenkins at Pascoe St,Site
York at Waimea Rd,Site
Wakapuaka at Hira,Site
MCI,Measurement
SQMCI,Measurement
No fo Taxa (MCI),Measurement
WQ Sample,Measurement
