Value,Type
Kakanui at Clifton Falls Bridge,Site
Lindsays Creek at North Road Bridge,Site
Kye Burn at SH85 Bridge,Site
Tokomairiro at West Branch Bridge,Site
Manuherikia at Ophir,Site
Mill Creek at Fish Trap,Site
Waiareka Creek at Taipo Road,Site
Luggate Creek at SH6 Bridge,Site
Waikouaiti at Confluence d/s,Site
Waiwera at Maws Farm,Site
Waitahuna at Tweeds Bridge,Site
Pomahaka at Glenken,Site
Silverstream at Taieri Depot,Site
Kauru at Ewings,Site
Catlins at Houipapa,Site
Shag at Craig Road,Site
Waipahi at Waipahi,Site
Dunstan Creek at Beattie Road,Site
Shag at Goodwood Pump,Site
Kakanui at McCones,Site
Waianakarua at Browns,Site
Heriot Burn at Park Hill Road,Site
Lindis at Ardgour Road,Site
Wairuna at Millar Road,Site
Trotters Creek at Mathesons,Site
Waipahi at Cairns Peak,Site
Waipori at Waipori Falls Reserve,Site
Leith at Dundas Street Bridge,Site
Kaikorai Stream at Brighton Road,Site
Cardrona at Mt Barker,Site
%EPT Taxa,Measurement
MCI,Measurement
TaxaRichness,Measurement
WQ Sample,Measurement
