Value,Type
HRK000085,Site
HTK000350,Site
HTK000425,Site
HTK000745,Site
KPA000250,Site
KPA000700,Site
WMK000100,Site
WMK000298,Site
WTR000850,Site
WKH000500,Site
WKH000920,Site
WKR000500,Site
WKR000700,Site
WGG000500,Site
WGG000665,Site
WGG000895,Site
WGG000900,Site
WGG000995,Site
WKH000100,Site
WAI000110,Site
WGA000260,Site
WGA000450,Site
WGG000115,Site
WGG000150,Site
TMR000375,Site
TNH000090,Site
TNH000200,Site
TNH000515,Site
STY000300,Site
STY000400,Site
TMR000150,Site
PNH000900,Site
PAT000200,Site
PAT000315,Site
PAT000360,Site
PNH000200,Site
MKW000200,Site
MKW000300,Site
MRK000420,Site
MWH000380,Site
MWH000490,Site
MGH000950,Site
MGN000195,Site
MGN000427,Site
MGT000488,Site
MGT000520,Site
MGE000970,Site
KRP000300,Site
KRP000660,Site
KTK000150,Site
KTK000248,Site
KPA000950,Site
KPK000250,Site
KPK000500,Site
KPK000660,Site
KPK000880,Site
KPK000990,Site
WKH000950,Site
EPTTAXA,Measurement
TAXARICHNESS,Measurement
MCI,Measurement
